Time (s),Main Avg Current (mA)
0.0000,2.61
0.0002,2.52
0.0004,2.474
0.0006,2.576
0.0008,2.548
0.0010,2.554
0.0012,2.504
0.0014,2.562
0.0016,2.512
0.0018,2.526
0.0020,2.57
0.0022,2.526
0.0024,2.476
0.0026,2.62
0.0028,2.476
0.0030,2.556
0.0032,2.608
0.0034,2.374
0.0036,2.682
0.0038,2.466
0.0040,2.512
0.0042,2.58
0.0044,2.484
0.0046,2.562
0.0048,2.57
0.0050,2.468
0.0052,2.536
0.0054,2.568
0.0056,2.504
0.0058,2.572
0.0060,2.462
0.0062,2.542
0.0064,2.572
0.0066,2.484
0.0068,2.496
0.0070,2.54
0.0072,2.52
0.0074,2.498
0.0076,2.52
0.0078,2.502
0.0080,2.526
0.0082,2.52
0.0084,2.502
0.0086,2.52
0.0088,2.496
0.0090,2.536
0.0092,2.524
0.0094,2.452
0.0096,2.55
0.0098,2.562
0.0100,2.462
0.0102,2.526
0.0104,2.518
0.0106,2.462
0.0108,2.568
0.0110,2.512
0.0112,2.524
0.0114,2.488
0.0116,2.528
0.0118,2.526
0.0120,2.504
0.0122,2.504
0.0124,2.534
0.0126,2.518
0.0128,2.496
0.0130,2.532
0.0132,2.504
0.0134,2.51
0.0136,2.568
0.0138,2.448
0.0140,2.534
0.0142,2.54
0.0144,2.54
0.0146,2.468
0.0148,2.578
0.0150,2.504
0.0152,2.524
0.0154,2.554
0.0156,2.498
0.0158,2.568
0.0160,2.506
0.0162,2.51
0.0164,2.586
0.0166,2.534
0.0168,2.49
0.0170,2.546
0.0172,2.554
0.0174,2.536
0.0176,2.554
0.0178,2.488
0.0180,2.558
0.0182,2.564
0.0184,2.518
0.0186,2.506
0.0188,2.546
0.0190,2.578
0.0192,2.476
0.0194,2.57
0.0196,2.518
0.0198,2.55
0.0200,2.498
0.0202,2.532
0.0204,2.602
0.0206,2.484
0.0208,2.526
0.0210,2.548
0.0212,2.542
0.0214,2.568
0.0216,2.46
0.0218,2.546
0.0220,2.556
0.0222,2.454
0.0224,2.586
0.0226,2.526
